drugbank_id,name,type,description,indication,atc_codes,categories
DB00043,Omalizumab,biotech,"Omalizumab is a recombinant DNA-derived humanized monoclonal antibody directed against human immunoglobulin E (IgE).[L50482] IgE promotes the release of inflammatory mediators from mast cells and basophils during allergic and inflammatory reactions. By binding to IgE and neutralizing it, omalizumab reduces free IgE levels and prevents IgE from binding to its receptors on immune cells.[A39518]

Omalizumab was first approved in the US in 2003 [A263507] and in Europe in 2005.[L50482] It is used t","Omalizumab is indicated for:
- the treatment of patients six years of age and older with moderate to severe persistent asthma who have a positive skin test or in vitro reactivity to a perennial aeroallergen and whose symptoms are inadequately controlled with inhaled corticosteroids.[L50477, L50482]
- add-on maintenance treatment of chronic rhinosinusitis with nasal polyps (CRSwNP) in adults with inadequate response to nasal corticosteroids.[L50477, L50482]
- the reduction of allergic reaction",R03DX05,"Agents to Treat Airway Disease|Amino Acids, Peptides, and Proteins|Anti-Allergic Agents|Anti-Asthmatic Agents|Anti-IgE"
DB00044,Lutropin alfa,biotech,"Lutropin alfa is a recombinant human luteinizing hormone produced in yeast with 2 subunits, alpha = 92 residues, beta = 121 residues. It is a heterodimeric glycoprotein made up of monomeric units. Lutropin alfa was the first and only recombinant human form of luteinizing hormone (LH) developed for use in the stimulation of follicular development. Its pharmacological action mimics the biological activity of endogenous LH; an acute rise of LH, or LH surge, in females triggers ovulation and the dev",For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L),G03GA07,Genito Urinary System and Sex Hormones|Gonadotropins|Gonadotropins and Antigonadotropins|Sex Hormones and Modulators of the Genital System
DB00045,Lyme disease vaccine (recombinant OspA),biotech,"Vaccine against Lyme disease that contains lipoprotein OspA, an outer surface protein of Borrelia burgdorferi sensu stricto ZS7, as expressed by Escherichia coli. Lipoprotein OspA is a single polypeptide chain of 257 amino acids with lipids covalently bonded to the N terminus. It is conjugated with alum (aluminum hydroxide) as an adjuvant.",For prophylactic treatment of Lyme Disease,,
DB00046,Insulin lispro,biotech,"Insulin lispro is a rapid-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat",Insulin lispro is indicated to improve glycemic control in adult and pediatric patients with diabetes mellitus.[L47616],A10AC04|A10AB04|A10AD04,"Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Blood Glucose Lowering Agents|Cytochrome P-450 CYP1A2 Inducers|Cytochrome P-450 CYP1A2 Inducers (strength unknown)"
DB00047,Insulin glargine,biotech,"Insulin glargine is a long-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is typically prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the","Insulin glargine is indicated to improve glycemic control in adults and pediatric patients with type 1 diabetes mellitus and in adults with type 2 diabetes mellitus.[L12474,L43532,L43587]",A10AE54|A10AE04,"Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Antimetabolites|Biological Products|Blood Glucose Lowering Agents"
DB00048,Collagenase clostridium histolyticum,biotech,"Collagenase clostridium histolyticum is an enzyme produced by the bacterium Clostridium histolyticum. It is beneficial in the breakdown of collagen plaques for the treatment of Dupuytren's contracture and Peyronie's disease.[L14882] The topical formulation is used for the debridement of necrotic tissue due to burns or chronic ulcers.[L14912]

On July 6, 2020 a combination of injectable bacterial collagenases was approved by the FDA for the treatment of cellulite in adult women.[L14872] Also kn","Collagenase clostridium histolyticum is indicated for the treatment of adults with Dupuytren's contracture with a palpable cord. Additionally, it is used to treat men with Peyronie's disease diagnosed with a penile curvature deformity of at least a 30-degree angle at the beginning of therapy in addition to palpable plaques.[L14882] Collagenase ointment is used for the tissue debridement of chronic dermal ulcers and severely burned tissues.[L14952]
The combination collagenase product, also known",D03BA02|M09AB02|D03BA52,Collagen-specific Enzyme|Collagenases|Dermatologicals|Endopeptidases|Enzymes
DB00049,Rasburicase,biotech,Rasburicase is a recombinant urate-oxidase enzyme produced by a genetically modified <i>Saccharomyces cerevisiae</i> strain. The cDNA coding for rasburicase was cloned from a strain of _Aspergillus flavus_.,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)",V03AF07|M04AX01,Antigout Preparations|Detoxifying Agents for Antineoplastic Treatment|Enzymes|Enzymes and Coenzymes|Methemoglobinemia Associated Agents
DB00050,Cetrorelix,small molecule,"Cetrorelix is a man-made hormone that blocks the effects of Gonadotropin Releasing Hormone (GnRH). GnRH controls another hormone that is called luteinizing hormone (LH), which is the hormone that starts ovulation during the menstrual cycle. When undergoing hormone treatment sometimes premature ovulation can occur, leading to eggs that are not ready for fertilization to be released. Cetrorelix does not allow the premature release of these eggs to occur.",For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation,H01CC02,"Amino Acids, Peptides, and Proteins|Anti-Gonadotropin-Releasing Hormones|Decreased GnRH Secretion|Fertility Agents|Fertility Agents, Female"
DB00051,Adalimumab,biotech,"Adalimumab is a subcutaneously administered biological disease modifier for the treatment of rheumatoid arthritis and other chronic debilitating diseases mediated by tumor necrosis factor.[A39984,A39999] It was originally launched by Abbvie in the U.S. and approved in 2002 by the FDA.[A39983] This drug is frequently known as _Humira_. It is produced by recombinant DNA technology using a mammalian cell expression system. This drug is available in a prefilled syringe form and convenient pen form f","Adalimumab is indicated for the following conditions:[L49101]

- Moderately to severely active Rheumatoid Arthritis (RA) in adults, as monotherapy or in combination with [methotrexate] or other non-biologic disease-modifying anti-rheumatic drugs (DMARDs).[L42290, L42495, L42935, L44953, L45643, L45818, L49101]
- Moderately to severely active polyarticular Juvenile Idiopathic Arthritis (JIA) in patients two years of age and older, as monotherapy or in combination with [methotrexate].[L42290, L",L04AB04,"Agents reducing cytokine levels|Amino Acids, Peptides, and Proteins|Anti-Inflammatory Agents|Antibodies|Antibodies, Monoclonal"
DB00052,Somatotropin,biotech,"Human growth hormone (HGH), also known as somatotropin, is a peptide hormone that is synthesized and secreted by the somatotropic cells of the anterior pituitary gland.[A228183] Growth hormone plays an essential role in growth regulation during childhood as well as other basal metabolic functions, muscle and fat mass regulation, blood glucose level regulation, and lipid regulation in both children and adults.[A228183, L31508] Synthesized in a strain of _Escherichia coli_, recombinant HGH is a po","Somatotropin is indicated for the treatment of pediatric patients who have growth failure due to an inadequate secretion of endogenous growth hormone, short stature associated with Turner syndrome, Prader-Willi syndrome (PWS), idiopathic short stature (ISS), short stature or growth failure in short stature homeobox-containing gene (SHOX) deficiency, and short stature born small for gestational age (SGA).[L31513, L31518] It is indicated for the treatment of growth failure in children associated w",H01AC01,"Agents Causing Muscle Toxicity|Amino Acids, Peptides, and Proteins|Anterior Pituitary Lobe Hormones and Analogues|Cytochrome P-450 CYP1A2 Inducers|Cytochrome P-450 CYP1A2 Inducers (strength unknown)"
DB00053,Imiglucerase,biotech,"Human Beta-glucocerebrosidase or Beta-D-glucosyl-N-acylsphingosine glucohydrolase E.C. 3.2.1.45. 497 residue protein with N-linked carbohydrates, MW=59.3 kD. Alglucerase is prepared by modification of the oligosaccharide chains of human Beta-glucocerebrosidase. The modification alters the sugar residues at the non-reducing ends of the oligosaccharide chains of the glycoprotein so that they are predominantly terminated with mannose residues.",For the treatment of Gaucher's disease (deficiency in glucocerebrosidase),A16AB02,Alimentary Tract and Metabolism|Enzyme Replacement Therapy|Enzymes|Enzymes and Coenzymes|Gaucher Disease
DB00054,Abciximab,biotech,"Abciximab is a Fab fragment of the chimeric human-murine monoclonal antibody 7E3. Abciximab binds to the glycoprotein (GP) IIb/IIIa receptor of human platelets and inhibits platelet aggregation by preventing the binding of fibrinogen, von Willebrand factor, and other adhesive molecules. It also binds to vitronectin (αvβ3) receptor found on platelets and vessel wall endothelial and smooth muscle cells.",Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.,B01AC13,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Anticoagulants"
DB00055,Drotrecogin alfa,biotech,"Drotrecogin alfa is activated human protein C that is synthesized by recombinant DNA technology. It is a glycoprotein of approximately 55 kilodalton molecular weight, consisting of a heavy chain and a light chain linked by a disulfide bond. Drotrecogin alfa was withdrawn from the market after a major study indicated that it was not effective in improving outcomes in patients with sepsis.",For reduction of mortality in patients with severe sepsis.,B01AD10,"Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Anticoagulants|Biological Factors|Blood and Blood Forming Organs"
DB00056,Gemtuzumab ozogamicin,biotech,"Gemtuzumab ozogamicin is a recombinant humanized IgG4 kappa antibody which is conjugated with calicheamicin derivative, a cytotoxic antitumor antibiotic isolated from fermentation of Micromonospora echinospora ssp. calichensis. Gemtuzumab ozogamicin has approximately 50% of the antibody loaded with 4-6 moles calicheamicin per mole of antibody [FDA Label]. The antibody is specifically directed against the CD33 antigen present on leukemic myeloblasts in most patients with acute myeloid leukemia (A",Indicated for the treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for other cytotoxic chemotherapy. Indicated for the treatment of patients aged 2 years and older with CD33-positive AML who have experienced a relapse or who have not responded to initial treatment (refractory). ,L01FX02,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antibody-drug Conjugates"
DB00057,Indium In-111 satumomab pendetide,biotech,Tumor associated glycoprotein (TAG) 72 (B72.3) monoclonal antibody conjugated with Indium 111 for radioimaging colon tumors. Satumomab Pendetide (trade name: OncoScint®) is no longer commercially available.,For diagnosis of extrahepatic malignant cancers,V09IB02,"Acetates|Acids, Acyclic|Amines|Amino Acids, Peptides, and Proteins|Antibodies"
DB00058,Alpha-1-proteinase inhibitor,biotech,"Human alpha-1 proteinase inhibitor or alpha-1-antitrypsin, prepared from human plasma via Cohn alcohol fractionation followed by PEG and zinc chloride fractionation.",For chronic augmentation and maintenance therapy in individuals with alpha1-proteinase inhibitor (A1-PI) deficiency and clinical evidence of emphysema.,B02AB02,"Acute-Phase Proteins|Alpha-Globulins|Amino Acids, Peptides, and Proteins|Antifibrinolytic Agents|Blood and Blood Forming Organs"
DB00059,Pegaspargase,biotech,"Pegaspargase is a conjugate of monomethoxypolyethylene glycol (mPEG) and L-asparaginase (L-asparagine amidohydrolase), an asparagine-specific enzyme that converts L-asparagine into aspartic acid and ammonia.[L44667] Asparagine is an amino acid that is vital for cell survival. In humans, most normal tissues can produce asparagine through the action of asparagine synthetase. However, leukemia cells have low levels of this enzyme and depend on exogenous sources. Therefore, the use of pegaspargase r",Pegaspargase is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of pediatric and adult patients with 1) first-line acute lymphoblastic leukemia or 2) acute lymphoblastic leukemia and hypersensitivity to asparaginase.[L44667],L01XX24,Alcohols|Amidohydrolases|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Asparaginase
DB00060,Interferon beta-1a,biotech,"Human interferon beta (166 residues), glycosylated, MW=22.5kD. It is produced by mammalian cells (Chinese Hamster Ovary cells) into which the human interferon beta gene has been introduced. The amino acid sequence is identical to that of natural human interferon beta.","For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum",L03AB07,"Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antineoplastic and Immunomodulating Agents|Antiviral Agents"
DB00061,Pegademase,biotech,Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.,For treatment of adenosine deaminase deficiency,L03AX04,"Adjuvants, Immunologic|Aminohydrolases|Antineoplastic and Immunomodulating Agents|Bovine Intestinal Adenosine Deaminase|Enzymes"
DB00062,Albumin human,biotech,"Human serum albumin is the primary protein present in human blood plasma. The main function of albumin is to maintain the oncotic pressure of blood [A33706]. It binds to water, cations (such as Ca2+, Na+ and K+), fatty acids, hormones, bilirubin, thyroxine (T4) and pharmaceuticals (including barbiturates).  Albumin represents approximately 50% of the total protein content in healthy humans [A40060].

Human albumin is a small globular protein (molecular weight: 66.5 kDa), consisting of a single","Albuminex solution is indicated for adults and children for hypovolemia, ascites, hypoalbuminemia including from burns, acute nephrosis, acute respiratory distress syndrome and cardipulmonary bypass [F229].",B05AA01,"Albumins|Amino Acids, Peptides, and Proteins|Blood and Blood Forming Organs|Blood and Related Products|Blood Derivatives"
DB00063,Eptifibatide,biotech,"Synthetic cyclic hexapeptide that binds to platelet receptor glycoprotein and inhibits platelet aggregation. Derived from venom of the Southeastern pygmy rattlesnake (Sistrurus miliarus barbouri), eptifibatide is a cyclic heptapeptide that belongs to the class of arginin-glycin-aspartat-mimetics.",For treatment of myocardial infarction and acute coronary syndrome.,B01AC16,"Amino Acids, Peptides, and Proteins|Antiplatelet agents|Blood and Blood Forming Organs|Decreased Platelet Aggregation|Hematologic Agents"
DB00065,Infliximab,biotech,Infliximab is a tumor necrosis factor (TNF-alpha or TNF-α) blocker and a chimeric monoclonal IgG1 antibody composed of human constant (75%) and murine variable (25%) regions [A31469]. Infliximab is produced by a recombinant cell line cultured by continuous perfusion. Tumor necrosis factor-alpha (TNF-α) is a key proinflammatory cytokine involved in chronic inflammatory diseases [A31469]. Its hyperactivity and enhanced signalling pathways can be observed in inflammatory diseases where it activates,"Infliximab is indicated for the following conditions: 

- moderately to severely active ulcerative colitis following treatment with an infliximab product administered intravenously  [L51793]
- moderately to severely active Crohn’s disease following treatment with an infliximab product administered intravenously [L51793]
- 


use in combination with methotrexate for the reduction in signs and symptoms, inhibition of
the progression of structural damage and improvement in physical function",L04AB02,"Agents Causing Muscle Toxicity|Agents reducing cytokine levels|Amino Acids, Peptides, and Proteins|Anti-Inflammatory Agents|Antibodies"
DB00066,Follitropin,biotech,"Follitropin is a human follicle stimulating hormone (FSH) preparation of recombinant DNA origin, which consists of two non-covalently linked, non-identical glycoproteins designated as the alpha- and beta- subunits. The alpha- and beta- subunits have 92 and 111 amino acids. The alpha subunit is glycosylated at Asn 51 and Asn 78 while the beta subunit is glycosylated at Asn 7 and Asn 24. Follitropin beta is produced in genetically engineered Chinese hamster cell lines (CHO). The nomenclature “beta","In women having been diagnosed with primary ovarian failure, it is used in combination with human chorionic gonadotropin (hCG) to assist in ovulation and fertility. In men with hypogonadotrophic hypogonadism, it is used to induce spermatogenesis. Follitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF).",G03GA06|G03GA10|G03GA05,"Amino Acids, Peptides, and Proteins|Follicle Stimulating Hormone|Genito Urinary System and Sex Hormones|Gonadotropins|Gonadotropins and Antigonadotropins"
DB00067,Vasopressin,biotech,"Vasopressin (arginine-vasopressin or antidiuretic hormone) is a nonapeptide primarily produced in the hypothalamus that exhibits diverse physiological functions related to diuresis, hemodynamic modulation, and behaviour.[A110, A111, A112, A113, A228008] Vasopressin is very similar to oxytocin, differing in the third and eighth amino acids.[A228013] Despite a wide variety of functions, exogenous vasopressin is primarily used to control blood pressure during systemic shock by increasing vasoconstr",Vasopressin is indicated to increase blood pressure in adults in vasodilatory shock refractory to the application of fluids and catecholamines.[L31413],,"Amino Acids, Peptides, and Proteins|Antidiuretic Agents|Arginine Vasopressin|Arginine Vasopressin, analogs & derivatives|Cardiovascular Agents"
DB00068,Interferon beta-1b,biotech,"Human interferon beta (165 residues), cysteine 17 is substituted with serine. Produced in E. coli, no carbohydrates, MW=18.5kD",Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.,L03AB08,"Adjuvants, Immunologic|Amino Acids, Peptides, and Proteins|Antineoplastic and Immunomodulating Agents|Biological Factors|Cytochrome P-450 CYP1A2 Inhibitors"
DB00069,Interferon alfacon-1,biotech,"Interferon alfacon-1 is a recombinant non-naturally occurring type-I interferon. The 166-amino acid sequence of Interferon alfacon-1 was derived by scanning the sequences of several natural interferon alpha subtypes and assigning the most frequently observed amino acid in each corresponding position. Four additional amino acid changes were made to facilitate the molecular construction, and a corresponding synthetic DNA sequence was constructed using chemical synthesis methodology. Interferon alf","For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma",L03AB09,"Adjuvants, Immunologic|Alfa Interferons|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antineoplastic and Immunomodulating Agents"
DB00070,Hyaluronidase (ovine),biotech,Highly purified sheep hyaluronidase for administration by injection into the vitreous of the eye.,For increase of absorption and distribution of other injected drugs and for rehydration.,,Enzymes|Enzymes and Coenzymes|Glycoside Hydrolases
DB00071,Insulin pork,biotech,"Insulin isolated from pig pancreas. Composed of alpha and beta chains, processed from pro-insulin. Forms a hexameric structure.",For the treatment of type I and II diabetes mellitus.,A10AC03|A10AB03|A10AE03|A10AD03,"Alimentary Tract and Metabolism|Amino Acids, Peptides, and Proteins|Blood Glucose Lowering Agents|Cytochrome P-450 CYP1A2 Inducers|Cytochrome P-450 CYP1A2 Inducers (strength unknown)"
DB00072,Trastuzumab,biotech,"Produced in CHO cell cultures, trastuzumab is a recombinant IgG1 kappa, humanized monoclonal antibody [A40276] that selectively binds with high affinity in a cell-based assay (Kd = 5 nM) to the extracellular domain of the human epidermal growth factor receptor protein (HER2).[L14015] It is used as a treatment of human epidermal growth factor receptor (HER)-2+ metastatic breast cancer, where there is a proven amplification of the HER-2 oncogene or over-expression of the HER-2 protein in tumours. ","For the adjuvant treatment of HER2-overexpressing breast cancer, trastuzumab is indicated in several clinical settings: as part of a treatment regimen consisting of doxorubicin, cyclophosphamide, and either paclitaxel or docetaxel; as part of a treatment regimen with docetaxel and carboplatin; or as monotherapy following multi-modality anthracycline-based therapy.[L14015]

Trastuzumab is indicated as a first-line treatment, in combination with paclitaxel, for metastatic HER2-overexpressing bre",L01FD01|L01FY01,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic Agents"
DB00073,Rituximab,biotech,"Rituximab is a genetically engineered chimeric murine/human monoclonal antibody directed against the CD20 antigen found on the surface of normal and malignant B lymphocytes. The antibody is an IgG1 kappa immunoglobulin containing murine light and heavy-chain variable region sequences and human constant region sequences [A40017], [FDA label]. It was originally approved by the U.S. FDA in 1997 as a single agent to treat patients with B-cell Non-Hodgkin's Lymphoma (NHL) [L4811], however, has now be","Rituximab is indicated for the treatment of adult patients with relapsed or refractory, low-grade or follicular, CD20-positive, B-cell non-Hodgkin’s Lymphoma (NHL) as a single agent. Also, it is indicated for the treatment of adult patients with previously untreated follicular, CD20-positive, B-cell NHL in combination with first line chemotherapy and, in patients achieving a complete or partial response to a rituximab product in combination with chemotherapy, as single-agent maintenance therapy.",L01FA01,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Murine-Derived|Antineoplastic Agents"
DB00074,Basiliximab,biotech,"A recombinant chimeric (murine/human) monoclonal antibody (IgG1k) that functions as an immunosuppressive agent, specifically binding to and blocking the interleukin-2 receptor a-chain (IL-2R alpha, also known as CD25 antigen) on the surface of activated T-lymphocytes. It is a 144 kDa glycoprotein obtained from fermentation of an established mouse myeloma cell line genetically engineered to express plasmids containing the human heavy and light chain constant region genes and mouse heavy and light",For prophylactic treatment of kidney transplant rejection,L04AC02,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic and Immunomodulating Agents"
DB00075,Muromonab,biotech,"Murine monoclonal antibody specific to CD3 T-cell lymphocyte antigens. More specifically it is a purified murine (mouse) monoclonal antibody, directed against the CD3 (T3) receptor on the surface of human T-cells (T-lymphocytes) cultured using the murine ascites method. Muromonab is 93% monomeric immune globulin G type 2a (IgG2a).","For treatment of organ transplant recipients, prevention of organ rejection",L04AG01,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Murine-Derived|Antineoplastic and Immunomodulating Agents"
DB00076,Digoxin Immune Fab (Ovine),biotech,Digoxin Immune Fab is a sheep antibody (26-10) FAB fragment from sheep immunized with the digoxin derivative Digoxindicarboxymethylamine. It is used as an antidote for overdose of digoxin.,For treatment of digitoxin overdose or digitalis glycoside toxicity.,V03AB24,"Amino Acids, Peptides, and Proteins|Antidotes|Blood Proteins|Digoxin Binding Activity|Immunoglobulin G"
DB00078,Ibritumomab tiuxetan,biotech,"Indium or yttrium conjugated murine IgG1 kappa monoclonal antibody directed against the CD20 antigen, which is found on the surface of normal and malignant B lymphocytes. Ibritumomab is produced in Chinese hamster ovary cells and is composed of two murine gamma 1 heavy chains of 445 amino acids each and two kappa light chains of 213 amino acids each.",For treatment of non-Hodgkin's lymphoma,V10XX02,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antigens, CD20|Blood Proteins"
DB00080,Daptomycin,small molecule,"Daptomycin is a cyclic lipopeptide antibacterial agent with a broad spectrum of activity against Gram-positive bacteria, including methicillin-susceptible and -resistant _Staphylococcus aureus_ (MSSA/MRSA) and vancomycin-resistant Enterococci (VRE).[A231379, A231384, L32534] Chemically, daptomycin comprises 13 amino acids, including several non-standard and D-amino acids, with the C-terminal 10 amino acids forming an ester-linked ring and the N-terminal tryptophan covalently bonded to decanoic a","Daptomycin is indicated for the treatment of complicated skin and skin structure infections (cSSSI) in patients one year of age and older. It is also indicated for the treatment of _Staphylococcus aureus_ bloodstream infections (bacteremia) in patients one year of age and older, including in adult patients with right-sided infective endocarditis.[L32534]

Daptomycin is not indicated for the treatment of pneumonia or left-sided infective endocarditis due to _S. aureus_. Use is not recommended i",J01XX09,"Agents Causing Muscle Toxicity|Amino Acids, Peptides, and Proteins|Anti-Bacterial Agents|Anti-Infective Agents|Antibacterials for Systemic Use"
DB00081,Tositumomab,biotech,"Murine IgG2a lambda monoclonal antibody against CD20 antigen (2 heavy chains of 451 residues, 2 lambda chains of 220 residues). It is produced in an antibiotic-free culture of mammalian cells. It can be covalently linked to Iodine 131 (a radioactive isotope of iodine).","For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)",V10XA53,"Amino Acids, Peptides, and Proteins|Antibodies|Antigens, CD20|Antineoplastic Agents|Blood Proteins"
DB00082,Pegvisomant,biotech,"Pegvisomant is a highly selective growth hormone (GH) receptor antagonist. It is used to treat acromegaly.  Unlike dopamine or somatostatin analogs (which inhibit growth hormone secretion), this drug actually blocks the hepatic (GH-mediated) production of insulin like growth factor (IGF-1), which is the main mediator of growth hormone activity.",Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.,H01AX01,"Acromegaly|Amino Acids, Peptides, and Proteins|Anterior Pituitary Lobe Hormones and Analogues|Cholinesterase Inhibitors|Cytochrome P-450 CYP3A Inducers"
DB00083,Botulinum toxin type A,biotech,"In 2002, botulinum toxin A, also known as onabotulinumtoxinA or Botox, was the first type A botulism toxin to be introduced into the market for cosmetic use.[A231824] With a wide variety of applications and favourable safety profile, Botulinum toxin A injection is a minimally invasive and promising treatment for cosmetic imperfections, muscle spasms, and other conditions.[A231819,L32569] A popular use for Botox is the treatment of facial wrinkles and lines, however, there are many uses for the b","Botulinum toxin A is indicated for a variety of conditions, depending on the preparations. Cosmetically, it is used for the treatment of facial fine lines and wrinkles, specifically for upper facial rhytides, including forehead, lateral canthus, and glabellar lines.[L32559]

In addition to the above indications, botulinum toxin A is used for the following conditions: treatment of adults with symptomatic overactive bladder with or without incontinence,  treatment of incontinence in adult patien",M03AX01,"Acetylcholine Release Inhibitors|Agents that produce neuromuscular block (indirect)|Amino Acids, Peptides, and Proteins|Bacterial Proteins|Bacterial Toxins"
DB00085,Pancrelipase,biotech,"Pancrelipase, in general, is composed of a mixture of pancreatic enzymes which include amylases, lipases, and proteases. These enzymes are extracted from porcine pancreatic glands.[L2509] The pancrelipase mixture was developed by Ortho-McNeil-Janssen Pharmaceuticals, Inc and FDA approved on April 12, 2010.[L2510] For further information on the components of this mixture please visit [DB11065], [DB11066] and [DB13147].","The use of pancrelipase amylase is part of the pancreatic enzyme replacement therapy. This therapy is indicated for the treatment of pancreatic insufficiency attributed to cystic fibrosis, chronic pancreatitis or any other medically defined pancreatic disease that might require it.[A32721, A32736] Pancreatic diseases are associated with the deterioration of pancreatic parenchyma and of the dual physiological functions of the pancreas. Once established, pancreatic insufficiency results in malnutr",A09AA02,"Alimentary Tract and Metabolism|Carboxylic Ester Hydrolases|Complex Mixtures|Digestives, Incl. Enzymes|Enzyme Preparations"
DB00086,Streptokinase,biotech,"Streptokinase, is a sterile, purified preparation of a bacterial protein elaborated by group C (beta) -hemolytic streptococci.","For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae",B01AD01|B06AA55,"Agents causing angioedema|Amino Acids, Peptides, and Proteins|Anticoagulants|Blood and Blood Forming Organs|Blood Proteins"
DB00087,Alemtuzumab,biotech,"Alemtuzumab is a humanized monoclonal antibody specific to lymphocyte antigens. It is a recombinant DNA-derived humanized monoclonal antibody (Campath-1H) that is directed against the 21-28 kD cell surface glycoprotein, CD52. The Campath-1H antibody is an IgG1 kappa with the human variable framework and constant regions, and complementarity-determining regions from a murine (rat) monoclonal antibody (Campath-1G). Alemtuzumab is produced in mammalian cell (Chinese hamster ovary) suspension cultur","LEMTRADA is indicated for the treatment of relapsing forms of multiple sclerosis (MS), including relapsing-remitting disease and active secondary progressive disease, in adults. Because of its safety profile, the use of LEMTRADA should generally be reserved for patients who have had an inadequate response to two or more drugs indicated for the treatment of MS.[L43397] LEMTRADA contains the same active ingredient (alemtuzumab) found in CAMPATH, and CAMPATH is approved for the treatment of B-cell ",L04AG06,"Amino Acids, Peptides, and Proteins|Antibodies|Antibodies, Monoclonal|Antibodies, Monoclonal, Humanized|Antineoplastic Agents"
DB00088,Alglucerase,biotech,"Human Beta-glucocerebrosidase or Beta-D-glucosyl-N-acylsphingosine glucohydrolase E.C. 3.2.1.45. 497 residue protein with N-linked carbohydrates, MW=59.3 kD. Alglucerase is prepared by modification of the oligosaccharide chains of human Beta-glucocerebrosidase. The modification alters the sugar residues at the non-reducing ends of the oligosaccharide chains of the glycoprotein so that they are predominantly terminated with mannose residues. Alglucerase was first approved by the FDA in 1991;[A254","Alglucerase is indicated for use as a long-term enzyme replacement therapy in patients with Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in moderate-to-severe anemia, thrombocytopenia, bone disease, or significant hepato- or splenomegaly.[L44266]",A16AB01,Alimentary Tract and Metabolism|Enzyme Replacement Therapy|Enzymes|Enzymes and Coenzymes|Gaucher Disease
DB00089,Capromab pendetide,biotech,"Capromab is a Murine IgG1 monoclonal 7E11-C5.3 antibody that recognizes prostate specific membrane antigen (PSMA – also known as glutamate carboxypeptidase 2) from prostate cancer cells and normal prostate tissue. When linked to pendetide, capromab is used as a chelating agent for the radionuclide [Indium In-111] during imaging to evaluate the extent of prostate cancer.",For diagnosis of prostate cancer and detection of intra-pelvic metastases.,V09IB04,"Amino Acids, Peptides, and Proteins|Antibodies|Blood Proteins|Compounds used in a research, industrial, or household setting|Diagnostic Radiopharmaceuticals"
